X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.150722454824546,39.938055946922368,1016,A,1969,Weccacoe Playground,405-25 QUEEN ST,Weccacoe Playground,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Non-Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,781378900,CITY OF PHILA,,,,,0.905339,C,Central,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=883,
-75.223745234883893,39.968111229155923,1017,A,1970,West Mill Creek Playground 1,5100 WESTMINSTER AVE,West Mill Creek Playground,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,442053520,REDEVELOPMENT AUTHORITY,,,,,5.261025,C,West,3,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=850,
-75.024415729053558,40.048035165741716,1018,A,515,Ramp Playground Building 1,3300 SOLLY AVE,Ramp Playground,16510E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786497900,CITY OF PHILA,1500,,1,,,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=817,
-75.233340059684693,39.995225454511356,1019,A,516,John C. Anderson Cultural Center Building,5325 OVERBROOK AVE,John C. Anderson Cultural Center,16102E,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,,Recreation Center,Y,Owned,PPR,PPR,783379905,CITY OF PHILA,9960,,,,,C,West Park,4,,,
-75.093182212026505,40.021768741091414,1020,A,518,Simpson Recreation Center Building,1010 ARROTT ST,Simpson Playground,16557E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786022900,CITY OF PHILA,9000,,1,1940,,C,Lower Northeast,7,76,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=835,
-75.042188971426569,40.032353918408639,1021,A,519,Mullin Playground Building,4301 PRINCETON AVE,Mullin Playground,16447E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786438800,CITY OF PHILA,535,,1,,,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=731,
-75.155377004064235,39.940689957273527,1022,A,521,Cianfrani Park,721 S 8TH ST,Cianfrani Park,16168E,,,Parks and Recreation All,Park Land and Open Space,Land,Square\Plaza,,Square\Plaza,Y,Owned,Public use,PPR,781592800,CITY OF PHILA,,,,1993,0.619366,C,Central,1,23,,
-75.201178243190029,39.971848983654432,1023,A,522,Pennsgrove Park,3864 PENNSGROVE ST,Pennsgrove Park,16489E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,243165510,CITY OF PHILA,,,,,0.023695,C,West Park,3,,,
-75.148335269226635,39.922345998830814,1024,A,526,100 Emily Street,100 EMILY ST,100 Emily Street,16245E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,781085400,CITY OF PHILA,,,,,0.015776,C,South,1,,,
-75.081716962291281,40.076746528688055,1025,A,535,Jeanes & Rhawn War Memorial,501 RHAWN ST,Jeanes & Rhawn War Memorial,16355E,,,Parks and Recreation All,Park Land and Open Space,Land,Neighborhood Park,,Neighborhood Park,Y,Owned,Public use,PPR,786454900,CITY OF PHILA,,,,1967,0.048669,C,Central Northeast,10,49,,
-75.133512147600769,39.978651436737948,1026,A,1300,Market Frankford El Station - Berks,FRONT & BERKS STS,Market Frankford El Station - Berks,20210E,,,Transit and Transporation,,Structure,Transit Station,,Transit Station,Y,Owned,SEPTA,SEPTA,,,,,,,,C,Lower North,7,,,
-75.131065986236806,40.043117949325534,1027,A,2233,Fisher Park Playground Play Equipment,6000 N 5TH ST,Fisher Park,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,785548200,CITY OF PHILA,,,,,,C,Upper North,9,,,
-75.128437446069313,39.971732019232483,1028,A,2234,Fishtown Recreation Center Play Equipment,1202-32 E MONTGOMERY AVE,Fishtown Recreation Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,781286100,CITY OF PHILA,,,,,,C,River Wards,5,,,
-75.128167982871318,39.971588784009036,1029,A,2235,Fishtown Recreation Center Basketball Court,1202-32 E MONTGOMERY AVE,Fishtown Recreation Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,781286100,CITY OF PHILA,,,,,,C,River Wards,5,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741,
